,Fp1,Fz,Oz,TP10,F8,AF3,AFz,C5
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.6125,0.0,0.0,0.0,0.3875,0.0,0.0
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF3,0.0,0.5079365079365079,0.0,0.0,0.0,0.49206349206349204,0.0,0.0
AFz,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
C5,0.0,0.0,0.0,0.0,0.0,0.0,0.4225352112676056,0.5774647887323944
