,parsopercularis-lh,parstriangularis-rh,rostralmiddlefrontal-lh,superiorparietal-lh,superiorparietal-rh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
parsopercularis-lh,0.4915254237288136,0.3728813559322034,0.0,0.0,0.05084745762711865,0.0,0.0847457627118644,0.0
parstriangularis-rh,0.2608695652173913,0.3695652173913043,0.11956521739130435,0.0,0.03260869565217391,0.0,0.11956521739130435,0.09782608695652174
rostralmiddlefrontal-lh,0.0,0.19148936170212766,0.2765957446808511,0.0,0.0,0.0425531914893617,0.2765957446808511,0.2127659574468085
superiorparietal-lh,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
superiorparietal-rh,0.07692307692307693,0.07692307692307693,0.0,0.0,0.8461538461538461,0.0,0.0,0.0
superiortemporal-rh,0.0,0.0,0.04,0.0,0.0,0.88,0.0,0.08
supramarginal-lh,0.041666666666666664,0.11458333333333333,0.13541666666666666,0.11458333333333333,0.0,0.0,0.4479166666666667,0.14583333333333334
supramarginal-rh,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.030303030303030304,0.24242424242424243,0.3939393939393939
