,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,rostralmiddlefrontal-lh,superiorparietal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-rh
inferiorparietal-rh,0.37037037037037035,0.037037037037037035,0.037037037037037035,0.25925925925925924,0.0,0.0,0.2962962962962963,0.0
parsopercularis-lh,0.0,0.3191489361702128,0.3191489361702128,0.0,0.0,0.2765957446808511,0.05319148936170213,0.031914893617021274
parstriangularis-rh,0.0,0.3,0.37,0.0,0.0,0.25,0.05,0.03
rostralmiddlefrontal-lh,0.23076923076923078,0.0,0.0,0.5384615384615384,0.0,0.0,0.23076923076923078,0.0
superiorparietal-rh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
superiortemporal-lh,0.0,0.28735632183908044,0.27586206896551724,0.0,0.0,0.3448275862068966,0.05747126436781609,0.034482758620689655
superiortemporal-rh,0.2,0.12,0.12,0.14,0.0,0.1,0.26,0.06
supramarginal-rh,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.07142857142857142,0.07142857142857142,0.7142857142857143
