,Fp1,Fz,Fp2,AF7,F1,F6,AF8,AF4
Fp1,0.3524590163934426,0.0,0.14344262295081966,0.0,0.0,0.0,0.26229508196721313,0.24180327868852458
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.2517985611510791,0.0,0.2446043165467626,0.0,0.0,0.0,0.2517985611510791,0.2517985611510791
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.2920353982300885,0.0,0.15486725663716813,0.0,0.0,0.0,0.28761061946902655,0.26548672566371684
AF4,0.2803738317757009,0.0,0.16355140186915887,0.0,0.0,0.0,0.2803738317757009,0.2757009345794392
