,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,frontalpole-lh,frontalpole-rh,isthmuscingulate-rh,lingual-rh,temporalpole-lh,transversetemporal-lh
caudalanteriorcingulate-lh,0.5454545454545454,0.09090909090909091,0.0,0.0,0.0,0.0,0.36363636363636365,0.0
caudalanteriorcingulate-rh,0.10526315789473684,0.3684210526315789,0.0,0.0,0.2631578947368421,0.2631578947368421,0.0,0.0
frontalpole-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frontalpole-rh,0.0,0.0,0.0,0.5714285714285714,0.21428571428571427,0.21428571428571427,0.0,0.0
isthmuscingulate-rh,0.038461538461538464,0.3076923076923077,0.0,0.038461538461538464,0.3076923076923077,0.3076923076923077,0.0,0.0
lingual-rh,0.0,0.2916666666666667,0.0,0.041666666666666664,0.3333333333333333,0.3333333333333333,0.0,0.0
temporalpole-lh,0.10526315789473684,0.0,0.0,0.05263157894736842,0.0,0.0,0.8421052631578947,0.0
transversetemporal-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
