,Fz,F3,FC2,AF7,F1,F5,FC4,FCz
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.0,0.25,0.3125,0.3125,0.0,0.0,0.0,0.125
FC2,0.0,0.23529411764705882,0.29411764705882354,0.35294117647058826,0.0,0.0,0.0,0.11764705882352941
AF7,0.0,0.17391304347826086,0.2608695652173913,0.4782608695652174,0.0,0.0,0.0,0.08695652173913043
F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
FC4,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
FCz,0.0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.18181818181818182
