,fusiform-lh,isthmuscingulate-rh,middletemporal-lh,parahippocampal-rh,pericalcarine-lh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,transversetemporal-rh
fusiform-lh,0.42857142857142855,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
middletemporal-lh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
parahippocampal-rh,0.0,0.36363636363636365,0.0,0.6363636363636364,0.0,0.0,0.0,0.0
pericalcarine-lh,0.3684210526315789,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0
rostralanteriorcingulate-lh,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
rostralanteriorcingulate-rh,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
transversetemporal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
