,cuneus-rh,frontalpole-lh,frontalpole-rh,isthmuscingulate-rh,lingual-rh,parahippocampal-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh
cuneus-rh,0.6153846153846154,0.0,0.0,0.15384615384615385,0.0,0.23076923076923078,0.0,0.0
frontalpole-lh,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25
frontalpole-rh,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25
isthmuscingulate-rh,0.11538461538461539,0.0,0.0,0.4230769230769231,0.34615384615384615,0.11538461538461539,0.0,0.0
lingual-rh,0.0,0.0,0.0,0.3125,0.6875,0.0,0.0,0.0
parahippocampal-rh,0.21052631578947367,0.0,0.0,0.10526315789473684,0.0,0.6842105263157895,0.0,0.0
rostralanteriorcingulate-lh,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25
rostralanteriorcingulate-rh,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25
