,frontalpole-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateralorbitofrontal-rh,parahippocampal-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-rh
frontalpole-rh,0.1891891891891892,0.0,0.0,0.21621621621621623,0.0,0.21621621621621623,0.1891891891891892,0.1891891891891892
isthmuscingulate-lh,0.0,0.3181818181818182,0.3181818181818182,0.0,0.36363636363636365,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.2,0.4,0.0,0.4,0.0,0.0,0.0
lateralorbitofrontal-rh,0.1875,0.0,0.0,0.21875,0.0,0.21875,0.1875,0.1875
parahippocampal-rh,0.0,0.21739130434782608,0.391304347826087,0.0,0.391304347826087,0.0,0.0,0.0
rostralanteriorcingulate-lh,0.1891891891891892,0.0,0.0,0.21621621621621623,0.0,0.21621621621621623,0.1891891891891892,0.1891891891891892
rostralanteriorcingulate-rh,0.1891891891891892,0.0,0.0,0.21621621621621623,0.0,0.21621621621621623,0.1891891891891892,0.1891891891891892
rostralmiddlefrontal-rh,0.1891891891891892,0.0,0.0,0.21621621621621623,0.0,0.21621621621621623,0.1891891891891892,0.1891891891891892
