,frontalpole-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateralorbitofrontal-rh,parahippocampal-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-rh
frontalpole-rh,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.2
isthmuscingulate-lh,0.0,0.2857142857142857,0.35714285714285715,0.0,0.35714285714285715,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.2857142857142857,0.35714285714285715,0.0,0.35714285714285715,0.0,0.0,0.0
lateralorbitofrontal-rh,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.2
parahippocampal-rh,0.0,0.2857142857142857,0.35714285714285715,0.0,0.35714285714285715,0.0,0.0,0.0
rostralanteriorcingulate-lh,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.2
rostralanteriorcingulate-rh,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.2
rostralmiddlefrontal-rh,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.2
