,Fp1,Fz,FT9,Fp2,AF7,PO8,AF8,AF4
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.3466003316749585,0.1625207296849088,0.0,0.05472636815920398,0.30845771144278605,0.04975124378109453,0.0779436152570481
FT9,0.0,0.245,0.24,0.0,0.0825,0.24,0.075,0.1175
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.0,0.171875,0.171875,0.0,0.16666666666666666,0.171875,0.14583333333333334,0.171875
PO8,0.0,0.2931596091205212,0.15309446254071662,0.0,0.05374592833876222,0.3745928338762215,0.048859934853420196,0.07654723127035831
AF8,0.0,0.16759776536312848,0.16759776536312848,0.0,0.16759776536312848,0.16759776536312848,0.16201117318435754,0.16759776536312848
AF4,0.0,0.188,0.188,0.0,0.132,0.188,0.12,0.184
