,Fp1,FT9,Cz,F8,Fp2,AF7,AF8,FCz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.28,0.12,0.28,0.0,0.0,0.0,0.32
Cz,0.0,0.2,0.2,0.3,0.0,0.0,0.0,0.3
F8,0.0,0.20833333333333334,0.125,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
FCz,0.0,0.21212121212121213,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0,0.42424242424242425
