,Fp1,F7,F8,Fp2,AFz,AF8,AF4,F2
Fp1,0.23076923076923078,0.23931623931623933,0.0,0.05128205128205128,0.0,0.0,0.23931623931623933,0.23931623931623933
F7,0.19285714285714287,0.2571428571428571,0.0,0.04285714285714286,0.0,0.0,0.2642857142857143,0.24285714285714285
F8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.20588235294117646,0.20588235294117646,0.0,0.17647058823529413,0.0,0.0,0.20588235294117646,0.20588235294117646
AFz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF4,0.18493150684931506,0.2465753424657534,0.0,0.0410958904109589,0.0,0.0,0.2945205479452055,0.2328767123287671
F2,0.19708029197080293,0.25547445255474455,0.0,0.043795620437956206,0.0,0.0,0.25547445255474455,0.24817518248175183
