,bankssts-lh,frontalpole-lh,frontalpole-rh,insula-rh,lateralorbitofrontal-rh,parsorbitalis-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh
bankssts-lh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frontalpole-lh,0.0,0.40331491712707185,0.0,0.0,0.0,0.0,0.34806629834254144,0.24861878453038674
frontalpole-rh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
insula-rh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
lateralorbitofrontal-rh,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0
parsorbitalis-rh,0.0,0.0,0.0,0.0,0.20634920634920634,0.7936507936507936,0.0,0.0
rostralanteriorcingulate-lh,0.0,0.31891891891891894,0.0,0.0,0.0,0.0,0.41081081081081083,0.2702702702702703
rostralanteriorcingulate-rh,0.0,0.2808219178082192,0.0,0.0,0.0,0.0,0.3150684931506849,0.4041095890410959
