,bankssts-lh,bankssts-rh,fusiform-rh,inferiorparietal-rh,lateraloccipital-rh,middletemporal-rh,parahippocampal-rh,temporalpole-rh
bankssts-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bankssts-rh,0.0,0.10526315789473684,0.10526315789473684,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525
fusiform-rh,0.0,0.10526315789473684,0.10526315789473684,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525
inferiorparietal-rh,0.0,0.1,0.1,0.15,0.15,0.15,0.15,0.2
lateraloccipital-rh,0.0,0.1,0.1,0.15,0.15,0.15,0.15,0.2
middletemporal-rh,0.0,0.1,0.1,0.15,0.15,0.15,0.15,0.2
parahippocampal-rh,0.0,0.1,0.1,0.15,0.15,0.15,0.15,0.2
temporalpole-rh,0.0,0.08,0.08,0.12,0.12,0.12,0.12,0.36
