,bankssts-lh,entorhinal-rh,frontalpole-rh,insula-lh,insula-rh,parahippocampal-lh,parahippocampal-rh,transversetemporal-lh
bankssts-lh,0.34545454545454546,0.0,0.0,0.0,0.21818181818181817,0.0,0.2545454545454545,0.18181818181818182
entorhinal-rh,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
frontalpole-rh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
insula-lh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
insula-rh,0.13333333333333333,0.0,0.0,0.0,0.36,0.0,0.29333333333333333,0.21333333333333335
parahippocampal-lh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
parahippocampal-rh,0.15789473684210525,0.0,0.0,0.0,0.32894736842105265,0.0,0.3157894736842105,0.19736842105263158
transversetemporal-lh,0.13333333333333333,0.08333333333333333,0.0,0.0,0.23333333333333334,0.0,0.21666666666666667,0.3333333333333333
