,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,frontalpole-lh,frontalpole-rh,medialorbitofrontal-rh,parahippocampal-lh,posteriorcingulate-rh,temporalpole-rh
caudalanteriorcingulate-lh,0.4,0.35,0.0,0.0,0.0,0.0,0.0,0.25
caudalanteriorcingulate-rh,0.3898305084745763,0.4067796610169492,0.0,0.0,0.0,0.0,0.0,0.2033898305084746
frontalpole-lh,0.0,0.0,0.2702702702702703,0.23423423423423423,0.24324324324324326,0.0,0.25225225225225223,0.0
frontalpole-rh,0.0,0.0,0.25225225225225223,0.24324324324324326,0.25225225225225223,0.0,0.25225225225225223,0.0
medialorbitofrontal-rh,0.0,0.0,0.24786324786324787,0.23931623931623933,0.2564102564102564,0.0,0.2564102564102564,0.0
parahippocampal-lh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
posteriorcingulate-rh,0.0,0.0,0.2631578947368421,0.23684210526315788,0.24561403508771928,0.0,0.2543859649122807,0.0
temporalpole-rh,0.2653061224489796,0.20408163265306123,0.0,0.0,0.0,0.0,0.0,0.5306122448979592
