,Fp1,CP1,Fp2,AF7,AF3,F5,POz,AF8
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AF3,0.0,0.0,0.0,0.0,0.2608695652173913,0.2608695652173913,0.21739130434782608,0.2608695652173913
F5,0.0,0.0,0.0,0.0,0.104,0.408,0.08,0.408
POz,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25
AF8,0.0,0.0,0.0,0.0,0.07103825136612021,0.28415300546448086,0.0546448087431694,0.5901639344262295
