,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Fp1,0.046954314720812185,0.0,0.048223350253807105,0.0,0.048223350253807105,0.008883248730964468,0.0,0.03934010152284264,0.048223350253807105,0.0,0.044416243654822336,0.0,0.0,0.0,0.0,0.0,0.0,0.0025380710659898475,0.044416243654822336,0.031725888324873094,0.015228426395939087,0.0,0.01015228426395939,0.048223350253807105,0.03299492385786802,0.03553299492385787,0.048223350253807105,0.04568527918781726,0.048223350253807105,0.0,0.048223350253807105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04187817258883249,0.048223350253807105,0.03426395939086294,0.048223350253807105,0.0,0.0,0.0,0.0,0.0,0.0,0.015228426395939087,0.0,0.0012690355329949238,0.024111675126903553,0.0,0.0,0.0,0.046954314720812185,0.0,0.007614213197969543,0.0,0.03680203045685279
Fz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,0.027756360832690823,0.0,0.06707787201233616,0.0,0.047031611410948346,0.005397070161912105,0.0,0.023901310717039322,0.06939090208172706,0.0,0.028527370855821126,0.0,0.0,0.0,0.0,0.0,0.0,0.006939090208172706,0.03546646106399383,0.018504240555127217,0.008481110254433308,0.0,0.01156515034695451,0.058596761757902856,0.04394757131842714,0.026985350809560524,0.06939090208172706,0.06784888203546646,0.04471858134155744,0.0,0.06707787201233616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025443330763299923,0.05705474171164225,0.020046260601387818,0.06013878180416345,0.0,0.0,0.0,0.0,0.0,0.0,0.014649190439475714,0.0,0.0,0.013878180416345412,0.0,0.0,0.0,0.04934464148033924,0.0,0.008481110254433308,0.0,0.02235929067077872
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.034203420342034205,0.0,0.05670567056705671,0.0,0.0558055805580558,0.0063006300630063005,0.0,0.0279027902790279,0.0576057605760576,0.0,0.0333033303330333,0.0,0.0009000900090009,0.0,0.0,0.0,0.0,0.004500450045004501,0.041404140414041404,0.023402340234023402,0.011701170117011701,0.0,0.009900990099009901,0.0576057605760576,0.0369036903690369,0.0279027902790279,0.05670567056705671,0.05490549054905491,0.05310531053105311,0.0,0.0576057605760576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0297029702970297,0.0576057605760576,0.025202520252025202,0.05670567056705671,0.0,0.0,0.0,0.0,0.0,0.0,0.013501350135013501,0.0,0.0018001800180018,0.018001800180018002,0.0,0.0,0.0,0.05490549054905491,0.0,0.008100810081008101,0.0,0.026102610261026102
FC5,0.0440251572327044,0.0,0.0440251572327044,0.0,0.0440251572327044,0.03773584905660377,0.0,0.0440251572327044,0.0440251572327044,0.0,0.0440251572327044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0440251572327044,0.0440251572327044,0.018867924528301886,0.0,0.0,0.0440251572327044,0.025157232704402517,0.03773584905660377,0.0440251572327044,0.0440251572327044,0.0440251572327044,0.0,0.0440251572327044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0440251572327044,0.0440251572327044,0.0440251572327044,0.0440251572327044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0440251572327044,0.0,0.0,0.0,0.0440251572327044,0.0,0.0,0.0,0.0440251572327044
FC1,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.03571428571428571,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.009523809523809525,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.03571428571428571,0.030952380952380953,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.03571428571428571,0.0,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.0,0.03571428571428571,0.0
C3,0.046686746987951805,0.0,0.046686746987951805,0.0,0.046686746987951805,0.010542168674698794,0.0,0.045180722891566265,0.046686746987951805,0.0,0.046686746987951805,0.0,0.0,0.0,0.0,0.0,0.0,0.0015060240963855422,0.043674698795180725,0.0286144578313253,0.009036144578313253,0.0,0.010542168674698794,0.046686746987951805,0.03765060240963856,0.04066265060240964,0.046686746987951805,0.046686746987951805,0.046686746987951805,0.0,0.046686746987951805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046686746987951805,0.046686746987951805,0.03162650602409638,0.046686746987951805,0.0,0.0,0.0,0.0,0.0,0.0,0.016566265060240965,0.0,0.0,0.01957831325301205,0.0,0.0,0.0,0.046686746987951805,0.0,0.007530120481927711,0.0,0.043674698795180725
T7,0.0264808362369338,0.0,0.0627177700348432,0.0,0.04390243902439024,0.004878048780487805,0.0,0.021602787456445994,0.089198606271777,0.0,0.02578397212543554,0.0,0.0006968641114982578,0.0,0.0,0.0,0.0,0.006968641114982578,0.036933797909407665,0.021602787456445994,0.010452961672473868,0.0,0.011149825783972125,0.059233449477351915,0.04041811846689895,0.025087108013937282,0.07456445993031359,0.06829268292682927,0.041811846689895474,0.0,0.07247386759581882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022996515679442508,0.05574912891986063,0.01951219512195122,0.05505226480836237,0.0,0.0,0.0,0.0,0.0,0.0,0.013937282229965157,0.0,0.0013937282229965157,0.014634146341463415,0.0,0.0,0.0,0.0445993031358885,0.0,0.007665505226480836,0.0,0.020209059233449476
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.013611615245009074,0.0,0.0,0.041742286751361164,0.0,0.04083484573502722,0.029945553539019964,0.04083484573502722,0.043557168784029036,0.034482758620689655,0.020871143375680582,0.007259528130671506,0.0,0.0009074410163339383,0.018148820326678767,0.03357531760435572,0.003629764065335753,0.0,0.0,0.0,0.0,0.0,0.0,0.03720508166969147,0.0,0.032667876588021776,0.022686025408348458,0.0,0.043557168784029036,0.032667876588021776,0.029038112522686024,0.0,0.036297640653357534,0.043557168784029036,0.0,0.0,0.0,0.0,0.022686025408348458,0.0,0.03176043557168784,0.0,0.043557168784029036,0.032667876588021776,0.004537205081669692,0.0426497277676951,0.03176043557168784,0.007259528130671506,0.036297640653357534,0.0426497277676951,0.029038112522686024,0.0,0.043557168784029036,0.0,0.024500907441016333,0.0
