,parsopercularis-lh,parstriangularis-rh,precentral-lh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiortemporal-lh,superiortemporal-rh
parsopercularis-lh,0.7333333333333333,0.0,0.0,0.0,0.08888888888888889,0.044444444444444446,0.0,0.13333333333333333
parstriangularis-rh,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.08333333333333333,0.0
precentral-lh,0.02040816326530612,0.04081632653061224,0.6530612244897959,0.10204081632653061,0.0,0.0,0.0,0.1836734693877551
rostralmiddlefrontal-rh,0.0,0.025,0.275,0.525,0.075,0.0,0.0,0.1
superiorfrontal-lh,0.13333333333333333,0.0,0.0,0.1,0.7666666666666667,0.0,0.0,0.0
superiorfrontal-rh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
superiortemporal-lh,0.0,0.17391304347826086,0.0,0.0,0.0,0.0,0.8260869565217391,0.0
superiortemporal-rh,0.14,0.0,0.22,0.06,0.0,0.0,0.0,0.58
