,frontalpole-lh,fusiform-lh,isthmuscingulate-rh,lingual-lh,medialorbitofrontal-lh,parahippocampal-lh,parsorbitalis-lh,rostralanteriorcingulate-lh
frontalpole-lh,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0
fusiform-lh,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0
isthmuscingulate-rh,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0
lingual-lh,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0
medialorbitofrontal-lh,0.0,0.0,0.0,0.0,0.6571428571428571,0.0,0.0,0.34285714285714286
parahippocampal-lh,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0
parsorbitalis-lh,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.9545454545454546,0.0
rostralanteriorcingulate-lh,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.6923076923076923
