,C3,Fp2,AF7,AFz,FT7,FT8,F6,AF4
C3,0.33088235294117646,0.33088235294117646,0.0,0.3382352941176471,0.0,0.0,0.0,0.0
Fp2,0.32575757575757575,0.3333333333333333,0.0,0.3409090909090909,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFz,0.30666666666666664,0.3,0.0,0.3933333333333333,0.0,0.0,0.0,0.0
FT7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT8,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,0.5454545454545454
F6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF4,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.5833333333333334
