,frontalpole-lh,frontalpole-rh,medialorbitofrontal-lh,medialorbitofrontal-rh,parsorbitalis-lh,rostralanteriorcingulate-rh,rostralmiddlefrontal-lh,temporalpole-rh
frontalpole-lh,0.46218487394957986,0.0,0.01680672268907563,0.0,0.09243697478991597,0.10084033613445378,0.3277310924369748,0.0
frontalpole-rh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
medialorbitofrontal-lh,0.05405405405405406,0.0,0.6756756756756757,0.0,0.0,0.0,0.2702702702702703,0.0
medialorbitofrontal-rh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
parsorbitalis-lh,0.23214285714285715,0.0,0.0,0.0,0.375,0.0,0.39285714285714285,0.0
rostralanteriorcingulate-rh,0.24390243902439024,0.0,0.0,0.0,0.0,0.7560975609756098,0.0,0.0
rostralmiddlefrontal-lh,0.28289473684210525,0.0,0.11842105263157894,0.0,0.14473684210526316,0.0,0.45394736842105265,0.0
temporalpole-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
