,bankssts-lh,frontalpole-rh,inferiorparietal-rh,isthmuscingulate-lh,isthmuscingulate-rh,lateraloccipital-rh,pericalcarine-lh,pericalcarine-rh
bankssts-lh,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.2
frontalpole-rh,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.1111111111111111,0.0,0.0
inferiorparietal-rh,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.1111111111111111,0.0,0.0
isthmuscingulate-lh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.23076923076923078
lateraloccipital-rh,0.18181818181818182,0.0,0.0,0.0,0.0,0.45454545454545453,0.2727272727272727,0.09090909090909091
pericalcarine-lh,0.3888888888888889,0.0,0.0,0.0,0.0,0.05555555555555555,0.3888888888888889,0.16666666666666666
pericalcarine-rh,0.25,0.0,0.0,0.0,0.08333333333333333,0.0,0.25,0.4166666666666667
