,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP5,0.0,0.0,0.0,0.0,0.0,0.125,0.0625,0.0,0.0,0.0,0.22916666666666666,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.16666666666666666,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3,0.0,0.0297029702970297,0.0,0.009900990099009901,0.0,0.0,0.034653465346534656,0.0,0.0,0.0,0.0,0.0,0.0,0.04455445544554455,0.0,0.04950495049504951,0.019801980198019802,0.04950495049504951,0.04950495049504951,0.0297029702970297,0.0,0.04455445544554455,0.04950495049504951,0.019801980198019802,0.0,0.0,0.04950495049504951,0.04950495049504951,0.039603960396039604,0.04950495049504951,0.0,0.0,0.0,0.0,0.0,0.0,0.034653465346534656,0.0297029702970297,0.0,0.034653465346534656,0.024752475247524754,0.0,0.0,0.024752475247524754,0.0,0.0,0.0,0.04950495049504951,0.0,0.034653465346534656,0.04950495049504951,0.0,0.0,0.0,0.04950495049504951,0.0,0.0,0.04950495049504951,0.0,0.0,0.0,0.0,0.0
P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.020477815699658702,0.0,0.006825938566552901,0.0,0.027303754266211604,0.05460750853242321,0.0,0.0,0.0,0.017064846416382253,0.0,0.0,0.030716723549488054,0.0,0.06484641638225255,0.027303754266211604,0.05460750853242321,0.04778156996587031,0.020477815699658702,0.0,0.034129692832764506,0.034129692832764506,0.013651877133105802,0.0,0.0,0.040955631399317405,0.04778156996587031,0.027303754266211604,0.034129692832764506,0.0,0.0,0.0,0.0,0.0,0.0,0.023890784982935155,0.020477815699658702,0.0,0.023890784982935155,0.017064846416382253,0.0,0.027303754266211604,0.017064846416382253,0.034129692832764506,0.0,0.0,0.03754266211604096,0.027303754266211604,0.023890784982935155,0.04436860068259386,0.0,0.0,0.0,0.040955631399317405,0.013651877133105802,0.0,0.04436860068259386,0.0,0.0,0.0,0.0,0.0
Oz,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.08,0.07,0.08,0.07,0.0,0.0,0.04,0.03,0.0,0.0,0.0,0.05,0.07,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.04,0.03,0.0,0.06,0.0,0.0,0.0,0.05,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
O2,0.0,0.02364864864864865,0.0,0.010135135135135136,0.0,0.016891891891891893,0.0472972972972973,0.0,0.0,0.0,0.006756756756756757,0.0,0.0,0.033783783783783786,0.0,0.060810810810810814,0.02702702702702703,0.057432432432432436,0.05067567567567568,0.02364864864864865,0.0,0.033783783783783786,0.037162162162162164,0.016891891891891893,0.0,0.0,0.04391891891891892,0.05067567567567568,0.030405405405405407,0.037162162162162164,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.02364864864864865,0.0,0.02702702702702703,0.02027027027027027,0.0,0.02364864864864865,0.02027027027027027,0.02364864864864865,0.0,0.0,0.04054054054054054,0.016891891891891893,0.02702702702702703,0.0472972972972973,0.0,0.0,0.0,0.04391891891891892,0.0033783783783783786,0.0,0.0472972972972973,0.0,0.0,0.0,0.0,0.0
P4,0.0,0.026578073089700997,0.0,0.013289036544850499,0.0,0.009966777408637873,0.03986710963455149,0.0,0.0,0.0,0.0,0.0,0.0,0.03322259136212625,0.0,0.053156146179401995,0.026578073089700997,0.05647840531561462,0.053156146179401995,0.026578073089700997,0.0,0.03322259136212625,0.03986710963455149,0.019933554817275746,0.0033222591362126247,0.0,0.04318936877076412,0.053156146179401995,0.03322259136212625,0.03986710963455149,0.0,0.0,0.0,0.0,0.0,0.0,0.029900332225913623,0.026578073089700997,0.0,0.029900332225913623,0.023255813953488372,0.0,0.016611295681063124,0.023255813953488372,0.016611295681063124,0.0,0.0,0.04318936877076412,0.009966777408637873,0.029900332225913623,0.04983388704318937,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.04983388704318937,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.03980099502487562,0.0,0.01990049751243781,0.0,0.0,0.01990049751243781,0.0,0.0,0.0,0.0,0.0,0.0,0.03980099502487562,0.0,0.03980099502487562,0.004975124378109453,0.04477611940298507,0.04477611940298507,0.03980099502487562,0.0,0.029850746268656716,0.04477611940298507,0.029850746268656716,0.004975124378109453,0.0,0.03980099502487562,0.04477611940298507,0.04477611940298507,0.04477611940298507,0.0,0.0,0.0,0.0,0.0,0.0,0.04477611940298507,0.03980099502487562,0.0,0.04477611940298507,0.03482587064676617,0.0,0.0,0.03482587064676617,0.0,0.0,0.0,0.04477611940298507,0.0,0.04477611940298507,0.04477611940298507,0.0,0.0,0.0,0.04477611940298507,0.0,0.0,0.04477611940298507,0.0,0.0,0.0,0.0,0.0
TP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
