,caudalmiddlefrontal-rh,inferiorparietal-rh,parstriangularis-rh,precentral-rh,rostralmiddlefrontal-lh,superiorfrontal-rh,superiortemporal-rh,supramarginal-lh
caudalmiddlefrontal-rh,0.631578947368421,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,0.0
inferiorparietal-rh,0.375,0.625,0.0,0.0,0.0,0.0,0.0,0.0
parstriangularis-rh,0.034482758620689655,0.0,0.8275862068965517,0.0,0.0,0.0,0.13793103448275862,0.0
precentral-rh,0.0,0.0,0.0,0.4017857142857143,0.11607142857142858,0.26785714285714285,0.026785714285714284,0.1875
rostralmiddlefrontal-lh,0.0,0.0,0.0,0.16279069767441862,0.5116279069767442,0.16279069767441862,0.0,0.16279069767441862
superiorfrontal-rh,0.0,0.0,0.0,0.2857142857142857,0.12380952380952381,0.3904761904761905,0.0,0.2
superiortemporal-rh,0.06666666666666667,0.0,0.2,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.0
supramarginal-lh,0.0,0.0,0.0,0.2625,0.15,0.2625,0.0,0.325
