,TP9,CP5,FT10,PO3,POz,C6,FT8,F6
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.6
FT10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.9310344827586207
