,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,parstriangularis-rh,rostralmiddlefrontal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-lh,0.6129032258064516,0.021505376344086023,0.010752688172043012,0.021505376344086023,0.021505376344086023,0.0,0.021505376344086023,0.2903225806451613
caudalmiddlefrontal-rh,0.010526315789473684,0.6,0.042105263157894736,0.09473684210526316,0.07368421052631578,0.031578947368421054,0.10526315789473684,0.042105263157894736
parstriangularis-rh,0.021739130434782608,0.10869565217391304,0.2608695652173913,0.17391304347826086,0.08695652173913043,0.13043478260869565,0.10869565217391304,0.10869565217391304
rostralmiddlefrontal-rh,0.01818181818181818,0.14545454545454545,0.10909090909090909,0.21818181818181817,0.10909090909090909,0.12727272727272726,0.18181818181818182,0.09090909090909091
superiortemporal-lh,0.014084507042253521,0.1267605633802817,0.07042253521126761,0.11267605633802817,0.4788732394366197,0.04225352112676056,0.09859154929577464,0.056338028169014086
superiortemporal-rh,0.00819672131147541,0.02459016393442623,0.04918032786885246,0.05737704918032787,0.02459016393442623,0.45081967213114754,0.02459016393442623,0.36065573770491804
supramarginal-lh,0.018518518518518517,0.18518518518518517,0.07407407407407407,0.16666666666666666,0.12962962962962962,0.05555555555555555,0.2962962962962963,0.07407407407407407
supramarginal-rh,0.1566265060240964,0.024096385542168676,0.03614457831325301,0.04216867469879518,0.024096385542168676,0.2710843373493976,0.024096385542168676,0.42168674698795183
