,inferiorparietal-rh,postcentral-lh,postcentral-rh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-rh,supramarginal-rh
inferiorparietal-rh,0.12121212121212122,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.06060606060606061,0.06060606060606061
postcentral-lh,0.1,0.175,0.15,0.125,0.2,0.15,0.05,0.05
postcentral-rh,0.10256410256410256,0.1794871794871795,0.15384615384615385,0.1282051282051282,0.1794871794871795,0.15384615384615385,0.05128205128205128,0.05128205128205128
superiorfrontal-rh,0.10810810810810811,0.16216216216216217,0.16216216216216217,0.13513513513513514,0.16216216216216217,0.16216216216216217,0.05405405405405406,0.05405405405405406
superiorparietal-lh,0.09523809523809523,0.16666666666666666,0.14285714285714285,0.11904761904761904,0.23809523809523808,0.14285714285714285,0.047619047619047616,0.047619047619047616
superiorparietal-rh,0.10256410256410256,0.1794871794871795,0.15384615384615385,0.1282051282051282,0.1794871794871795,0.15384615384615385,0.05128205128205128,0.05128205128205128
superiortemporal-rh,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.09090909090909091,0.09090909090909091
supramarginal-rh,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.09090909090909091,0.09090909090909091
