,bankssts-rh,fusiform-lh,fusiform-rh,isthmuscingulate-lh,isthmuscingulate-rh,parsorbitalis-lh,rostralanteriorcingulate-rh,transversetemporal-rh
bankssts-rh,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
fusiform-lh,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
fusiform-rh,0.0,0.0,0.23076923076923078,0.19230769230769232,0.2692307692307692,0.0,0.23076923076923078,0.07692307692307693
isthmuscingulate-lh,0.0,0.0,0.14285714285714285,0.2857142857142857,0.19047619047619047,0.0,0.14285714285714285,0.23809523809523808
isthmuscingulate-rh,0.0,0.0,0.2,0.24,0.24,0.0,0.2,0.12
parsorbitalis-lh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
rostralanteriorcingulate-rh,0.0,0.0,0.23076923076923078,0.19230769230769232,0.2692307692307692,0.0,0.23076923076923078,0.07692307692307693
transversetemporal-rh,0.0,0.0,0.0,0.2727272727272727,0.09090909090909091,0.0,0.0,0.6363636363636364
