,cuneus-rh,entorhinal-lh,frontalpole-lh,frontalpole-rh,lateraloccipital-rh,middletemporal-lh,parahippocampal-lh,temporalpole-rh
cuneus-rh,0.6296296296296297,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.037037037037037035
entorhinal-lh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
frontalpole-lh,0.0,0.0,0.6571428571428571,0.12857142857142856,0.21428571428571427,0.0,0.0,0.0
frontalpole-rh,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0
lateraloccipital-rh,0.2823529411764706,0.0,0.12941176470588237,0.0,0.5882352941176471,0.0,0.0,0.0
middletemporal-lh,0.0,0.02,0.0,0.0,0.0,0.58,0.4,0.0
parahippocampal-lh,0.0,0.0,0.0,0.0,0.0,0.43333333333333335,0.5666666666666667,0.0
temporalpole-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
