,P7,O1,Oz,T8,Fp2,F1,PO7,PO3
P7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.5471698113207547,0.4528301886792453,0.0,0.0,0.0,0.0,0.0
Oz,0.0,0.5106382978723404,0.48936170212765956,0.0,0.0,0.0,0.0,0.0
T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
