,bankssts-lh,entorhinal-lh,inferiortemporal-lh,medialorbitofrontal-lh,middletemporal-lh,parsorbitalis-rh,temporalpole-lh,temporalpole-rh
bankssts-lh,0.4090909090909091,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,0.13636363636363635
entorhinal-lh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
inferiortemporal-lh,0.0,0.0,0.7,0.0,0.0,0.0,0.3,0.0
medialorbitofrontal-lh,0.391304347826087,0.0,0.0,0.4782608695652174,0.0,0.0,0.0,0.13043478260869565
middletemporal-lh,0.0,0.07142857142857142,0.0,0.0,0.9285714285714286,0.0,0.0,0.0
parsorbitalis-rh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
temporalpole-lh,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.7647058823529411,0.0
temporalpole-rh,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.7
