,bankssts-rh,frontalpole-lh,frontalpole-rh,inferiorparietal-lh,lateraloccipital-lh,parsorbitalis-rh,pericalcarine-lh,rostralmiddlefrontal-rh
bankssts-rh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frontalpole-lh,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0
frontalpole-rh,0.0,0.0,0.7142857142857143,0.0,0.2857142857142857,0.0,0.0,0.0
inferiorparietal-lh,0.0,0.0,0.0,0.5238095238095238,0.0,0.0,0.47619047619047616,0.0
lateraloccipital-lh,0.0,0.14285714285714285,0.07142857142857142,0.0,0.7857142857142857,0.0,0.0,0.0
parsorbitalis-rh,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2
pericalcarine-lh,0.0,0.0,0.0,0.47058823529411764,0.0,0.0,0.5294117647058824,0.0
rostralmiddlefrontal-rh,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.4444444444444444
