,caudalmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiorparietal-rh,superiortemporal-rh,supramarginal-lh,supramarginal-rh
caudalmiddlefrontal-rh,0.10810810810810811,0.10810810810810811,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.10810810810810811,0.13513513513513514
superiorfrontal-lh,0.10810810810810811,0.10810810810810811,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.10810810810810811,0.13513513513513514
superiorfrontal-rh,0.1,0.1,0.125,0.125,0.15,0.15,0.1,0.15
superiorparietal-lh,0.1,0.1,0.125,0.125,0.15,0.15,0.1,0.15
superiorparietal-rh,0.1,0.1,0.125,0.125,0.15,0.15,0.1,0.15
superiortemporal-rh,0.1,0.1,0.125,0.125,0.15,0.15,0.1,0.15
supramarginal-lh,0.10810810810810811,0.10810810810810811,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.10810810810810811,0.13513513513513514
supramarginal-rh,0.1,0.1,0.125,0.125,0.15,0.15,0.1,0.15
