,caudalanteriorcingulate-lh,frontalpole-rh,fusiform-lh,isthmuscingulate-rh,parahippocampal-lh,parahippocampal-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh
caudalanteriorcingulate-lh,0.5630689206762028,0.10533159947984395,0.0,0.0,0.016905071521456438,0.0,0.20416124837451236,0.11053315994798439
frontalpole-rh,0.05812324929971989,0.3956582633053221,0.0,0.0,0.09173669467787114,0.0,0.17296918767507002,0.2815126050420168
fusiform-lh,0.0,0.0,0.7993366500829188,0.05306799336650083,0.08623548922056384,0.06135986733001658,0.0,0.0
isthmuscingulate-rh,0.0,0.0,0.05235602094240838,0.68760907504363,0.04363001745200698,0.2164048865619546,0.0,0.0
parahippocampal-lh,0.025252525252525252,0.2239057239057239,0.09090909090909091,0.045454545454545456,0.3451178451178451,0.045454545454545456,0.05723905723905724,0.16666666666666666
parahippocampal-rh,0.0,0.0,0.05211267605633803,0.18028169014084508,0.038028169014084505,0.7295774647887324,0.0,0.0
rostralanteriorcingulate-lh,0.1232876712328767,0.19419822723609992,0.0,0.0,0.0257856567284448,0.0,0.44077356970185333,0.21595487510072522
rostralanteriorcingulate-rh,0.06604506604506605,0.3076923076923077,0.0,0.0,0.07459207459207459,0.0,0.2128982128982129,0.33877233877233875
