,parsopercularis-lh,parstriangularis-rh,rostralmiddlefrontal-rh,superiorfrontal-lh,superiorfrontal-rh,superiorparietal-lh,superiortemporal-rh,supramarginal-rh
parsopercularis-lh,0.47619047619047616,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,0.0
parstriangularis-rh,0.2,0.48,0.06,0.0,0.26,0.0,0.0,0.0
rostralmiddlefrontal-rh,0.0,0.18181818181818182,0.2727272727272727,0.0,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182
superiorfrontal-lh,0.0,0.0,0.0,0.5882352941176471,0.0,0.4117647058823529,0.0,0.0
superiorfrontal-rh,0.0,0.34285714285714286,0.08571428571428572,0.0,0.5714285714285714,0.0,0.0,0.0
superiorparietal-lh,0.0,0.0,0.03409090909090909,0.17045454545454544,0.0,0.4431818181818182,0.14772727272727273,0.20454545454545456
superiortemporal-rh,0.0,0.0,0.0,0.0,0.0,0.1917808219178082,0.4657534246575342,0.3424657534246575
supramarginal-rh,0.0,0.0,0.034482758620689655,0.011494252873563218,0.0,0.21839080459770116,0.2988505747126437,0.4367816091954023
