,bankssts-lh,insula-lh,insula-rh,isthmuscingulate-rh,medialorbitofrontal-rh,parahippocampal-lh,posteriorcingulate-rh,rostralanteriorcingulate-rh
bankssts-lh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insula-lh,0.0,0.15,0.15,0.15,0.15,0.1375,0.125,0.1375
insula-rh,0.0,0.15,0.15,0.15,0.15,0.1375,0.125,0.1375
isthmuscingulate-rh,0.0,0.1506849315068493,0.1506849315068493,0.1506849315068493,0.1506849315068493,0.136986301369863,0.1232876712328767,0.136986301369863
medialorbitofrontal-rh,0.0,0.15,0.15,0.15,0.15,0.1375,0.125,0.1375
parahippocampal-lh,0.0,0.15,0.15,0.15,0.15,0.1375,0.125,0.1375
posteriorcingulate-rh,0.0,0.14492753623188406,0.14492753623188406,0.14492753623188406,0.14492753623188406,0.14492753623188406,0.13043478260869565,0.14492753623188406
rostralanteriorcingulate-rh,0.0,0.15,0.15,0.15,0.15,0.1375,0.125,0.1375
