,bankssts-lh,caudalanteriorcingulate-lh,frontalpole-rh,medialorbitofrontal-lh,rostralanteriorcingulate-lh,superiortemporal-lh,transversetemporal-lh,transversetemporal-rh
bankssts-lh,0.5483870967741935,0.0,0.0,0.0,0.0,0.41935483870967744,0.03225806451612903,0.0
caudalanteriorcingulate-lh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
frontalpole-rh,0.0,0.0,0.5454545454545454,0.3939393939393939,0.06060606060606061,0.0,0.0,0.0
medialorbitofrontal-lh,0.0,0.0,0.3111111111111111,0.5111111111111111,0.17777777777777778,0.0,0.0,0.0
rostralanteriorcingulate-lh,0.0,0.0,0.07692307692307693,0.20512820512820512,0.6666666666666666,0.0,0.0,0.05128205128205128
superiortemporal-lh,0.3170731707317073,0.0,0.0,0.0,0.0,0.6829268292682927,0.0,0.0
transversetemporal-lh,0.15625,0.0,0.0,0.0,0.0,0.0625,0.78125,0.0
transversetemporal-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
