,bankssts-rh,fusiform-rh,lingual-rh,parahippocampal-rh,parstriangularis-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh,transversetemporal-lh
bankssts-rh,0.696969696969697,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.24242424242424243
fusiform-rh,0.0,0.6363636363636364,0.1590909090909091,0.045454545454545456,0.1590909090909091,0.0,0.0,0.0
lingual-rh,0.019230769230769232,0.057692307692307696,0.46153846153846156,0.28846153846153844,0.0,0.0,0.0,0.17307692307692307
parahippocampal-rh,0.08163265306122448,0.0,0.22448979591836735,0.3877551020408163,0.0,0.0,0.0,0.30612244897959184
parstriangularis-rh,0.0,0.18518518518518517,0.0,0.0,0.8148148148148148,0.0,0.0,0.0
rostralanteriorcingulate-lh,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
rostralanteriorcingulate-rh,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
transversetemporal-lh,0.23529411764705882,0.0,0.09803921568627451,0.23529411764705882,0.0,0.0,0.0,0.43137254901960786
