,fusiform-lh,inferiortemporal-lh,isthmuscingulate-rh,lateraloccipital-lh,lingual-lh,lingual-rh,parahippocampal-lh,pericalcarine-rh
fusiform-lh,0.5185185185185185,0.0,0.0,0.0,0.2222222222222222,0.0,0.25925925925925924,0.0
inferiortemporal-lh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lateraloccipital-lh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
lingual-lh,0.24,0.0,0.0,0.0,0.52,0.16,0.0,0.08
lingual-rh,0.0,0.0,0.0,0.0,0.07142857142857142,0.4642857142857143,0.0,0.4642857142857143
parahippocampal-lh,0.35714285714285715,0.0,0.0,0.0,0.07142857142857142,0.0,0.5714285714285714,0.0
pericalcarine-rh,0.0,0.0,0.0,0.0,0.0,0.4782608695652174,0.0,0.5217391304347826
