,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,parsopercularis-lh,parstriangularis-rh,postcentral-rh,rostralmiddlefrontal-lh,superiorfrontal-rh,superiortemporal-lh
caudalmiddlefrontal-lh,0.21844660194174756,0.13106796116504854,0.05825242718446602,0.014563106796116505,0.13592233009708737,0.14563106796116504,0.0825242718446602,0.21359223300970873
caudalmiddlefrontal-rh,0.15757575757575756,0.21818181818181817,0.07272727272727272,0.0,0.18787878787878787,0.07272727272727272,0.10303030303030303,0.18787878787878787
parsopercularis-lh,0.15,0.15,0.175,0.025,0.15,0.05,0.15,0.15
parstriangularis-rh,0.1,0.0,0.1,0.45,0.35,0.0,0.0,0.0
postcentral-rh,0.15060240963855423,0.18674698795180722,0.07228915662650602,0.04216867469879518,0.22289156626506024,0.05421686746987952,0.10240963855421686,0.1686746987951807
rostralmiddlefrontal-lh,0.22794117647058823,0.09558823529411764,0.04411764705882353,0.0,0.08088235294117647,0.25,0.051470588235294115,0.25
superiorfrontal-rh,0.1650485436893204,0.1650485436893204,0.11650485436893204,0.0,0.1650485436893204,0.04854368932038835,0.17475728155339806,0.1650485436893204
superiortemporal-lh,0.19642857142857142,0.14285714285714285,0.05357142857142857,0.0,0.13392857142857142,0.15625,0.07589285714285714,0.24107142857142858
