,FT9,TP9,Oz,F4,F8,F5,PO8,AF8
FT9,0.9361702127659575,0.0,0.0,0.0,0.0,0.06382978723404255,0.0,0.0
TP9,0.0,0.2692307692307692,0.2692307692307692,0.0,0.0,0.0,0.1875,0.27403846153846156
Oz,0.0,0.2647058823529412,0.2696078431372549,0.0,0.0,0.0,0.19117647058823528,0.27450980392156865
F4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F5,0.5714285714285714,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0
PO8,0.0,0.25161290322580643,0.25161290322580643,0.0,0.0,0.0,0.24516129032258063,0.25161290322580643
AF8,0.0,0.27014218009478674,0.26540284360189575,0.0,0.0,0.0,0.1848341232227488,0.2796208530805687
