,Oz,O2,FT10,P1,P5,PO3,PO4,PO8
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1,0.0,0.0,0.0,0.34,0.32,0.34,0.0,0.0
P5,0.0,0.0,0.0,0.3404255319148936,0.3191489361702128,0.3404255319148936,0.0,0.0
PO3,0.0,0.0,0.0,0.3404255319148936,0.3191489361702128,0.3404255319148936,0.0,0.0
PO4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
