,insula-lh,isthmuscingulate-rh,lateralorbitofrontal-lh,medialorbitofrontal-lh,parsopercularis-lh,parsorbitalis-lh,rostralanteriorcingulate-lh,transversetemporal-rh
insula-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isthmuscingulate-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lateralorbitofrontal-lh,0.0,0.0,0.3617021276595745,0.1276595744680851,0.0,0.23404255319148937,0.2765957446808511,0.0
medialorbitofrontal-lh,0.0,0.0,0.2727272727272727,0.22727272727272727,0.0,0.22727272727272727,0.2727272727272727,0.0
parsopercularis-lh,0.0,0.0,0.0,0.0,0.65,0.05,0.0,0.3
parsorbitalis-lh,0.0,0.0,0.29545454545454547,0.13636363636363635,0.0,0.36363636363636365,0.20454545454545456,0.0
rostralanteriorcingulate-lh,0.0,0.0,0.34210526315789475,0.15789473684210525,0.0,0.18421052631578946,0.3157894736842105,0.0
transversetemporal-rh,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6
