,bankssts-lh,bankssts-rh,frontalpole-lh,frontalpole-rh,lateraloccipital-lh,parsorbitalis-lh,parsorbitalis-rh,pericalcarine-lh
bankssts-lh,0.3181818181818182,0.36363636363636365,0.0,0.0,0.0,0.3181818181818182,0.0,0.0
bankssts-rh,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.38095238095238093,0.0,0.0
frontalpole-lh,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091
frontalpole-rh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
lateraloccipital-lh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
parsorbitalis-lh,0.2777777777777778,0.3333333333333333,0.0,0.0,0.0,0.3888888888888889,0.0,0.0
parsorbitalis-rh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pericalcarine-lh,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.7692307692307693
