,Fp1,FT10,F4,F8,Fp2,AF7,FT7,AF4
Fp1,0.6060606060606061,0.0,0.0,0.0,0.3939393939393939,0.0,0.0,0.0
FT10,0.0,0.5121951219512195,0.4878048780487805,0.0,0.0,0.0,0.0,0.0
F4,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.52,0.0,0.0,0.0,0.48,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
