,caudalmiddlefrontal-lh,caudalmiddlefrontal-rh,inferiorparietal-rh,parstriangularis-rh,postcentral-rh,rostralmiddlefrontal-lh,superiorparietal-rh,superiortemporal-rh
caudalmiddlefrontal-lh,0.24390243902439024,0.04878048780487805,0.024390243902439025,0.2926829268292683,0.0975609756097561,0.21951219512195122,0.0,0.07317073170731707
caudalmiddlefrontal-rh,0.06666666666666667,0.23333333333333334,0.2,0.05,0.11666666666666667,0.1,0.11666666666666667,0.11666666666666667
inferiorparietal-rh,0.05357142857142857,0.21428571428571427,0.25,0.03571428571428571,0.10714285714285714,0.08928571428571429,0.125,0.125
parstriangularis-rh,0.1951219512195122,0.024390243902439025,0.0,0.4878048780487805,0.07317073170731707,0.1951219512195122,0.0,0.024390243902439025
postcentral-rh,0.11904761904761904,0.11904761904761904,0.09523809523809523,0.11904761904761904,0.16666666666666666,0.19047619047619047,0.07142857142857142,0.11904761904761904
rostralmiddlefrontal-lh,0.18,0.08,0.06,0.22,0.12,0.22,0.04,0.08
superiorparietal-rh,0.05263157894736842,0.18421052631578946,0.18421052631578946,0.02631578947368421,0.13157894736842105,0.10526315789473684,0.15789473684210525,0.15789473684210525
superiortemporal-rh,0.14,0.12,0.1,0.1,0.14,0.16,0.08,0.16
