,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P7,O1,Oz,O2,P4,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,AF8,AF4,F2,FCz
Fp1,0.10714285714285714,0.0,0.0,0.04395604395604396,0.0,0.0,0.0,0.0027472527472527475,0.0,0.0,0.008241758241758242,0.0,0.0,0.0,0.0,0.0,0.0027472527472527475,0.0,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.10989010989010989,0.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07417582417582418,0.07417582417582418,0.0,0.0,0.013736263736263736,0.0,0.0,0.03571428571428571,0.06043956043956044,0.0,0.09615384615384616,0.0027472527472527475,0.0,0.03296703296703297,0.0,0.06318681318681318,0.0,0.046703296703296704,0.0,0.0
Fz,0.0,0.0430672268907563,0.02415966386554622,0.0,0.026260504201680673,0.014705882352941176,0.0063025210084033615,0.0063025210084033615,0.0,0.028361344537815126,0.0,0.0,0.023109243697478993,0.031512605042016806,0.026260504201680673,0.0,0.023109243697478993,0.022058823529411766,0.022058823529411766,0.023109243697478993,0.0,0.023109243697478993,0.02100840336134454,0.04201680672268908,0.037815126050420166,0.025210084033613446,0.0430672268907563,0.0,0.0,0.0430672268907563,0.0,0.037815126050420166,0.037815126050420166,0.01995798319327731,0.026260504201680673,0.038865546218487396,0.004201680672268907,0.0,0.025210084033613446,0.0,0.0,0.03466386554621849,0.0,0.0,0.032563025210084036,0.037815126050420166,0.0,0.0,0.032563025210084036,0.0,0.02415966386554622,0.011554621848739496,0.0,0.022058823529411766,0.0,0.031512605042016806,0.0,0.0,0.0273109243697479
F3,0.0,0.03096774193548387,0.02838709677419355,0.0,0.03096774193548387,0.01806451612903226,0.007741935483870968,0.007741935483870968,0.0,0.03096774193548387,0.0,0.0,0.02838709677419355,0.03096774193548387,0.03096774193548387,0.0,0.027096774193548386,0.027096774193548386,0.027096774193548386,0.02838709677419355,0.0,0.02838709677419355,0.025806451612903226,0.03096774193548387,0.03096774193548387,0.02967741935483871,0.03096774193548387,0.0,0.0,0.03096774193548387,0.0,0.03096774193548387,0.03096774193548387,0.024516129032258065,0.02967741935483871,0.03096774193548387,0.005161290322580645,0.0,0.02967741935483871,0.0,0.0,0.03096774193548387,0.0,0.0,0.03096774193548387,0.03096774193548387,0.0,0.0,0.03096774193548387,0.0,0.02838709677419355,0.014193548387096775,0.0,0.027096774193548386,0.0,0.03096774193548387,0.0,0.0,0.03096774193548387
F7,0.05639097744360902,0.007518796992481203,0.007518796992481203,0.06015037593984962,0.007518796992481203,0.0037593984962406013,0.0037593984962406013,0.011278195488721804,0.0,0.007518796992481203,0.011278195488721804,0.0,0.0037593984962406013,0.007518796992481203,0.007518796992481203,0.0,0.011278195488721804,0.007518796992481203,0.007518796992481203,0.0037593984962406013,0.015037593984962405,0.0037593984962406013,0.007518796992481203,0.007518796992481203,0.007518796992481203,0.007518796992481203,0.007518796992481203,0.05639097744360902,0.05639097744360902,0.007518796992481203,0.05639097744360902,0.007518796992481203,0.007518796992481203,0.0037593984962406013,0.0037593984962406013,0.007518796992481203,0.0,0.0,0.0037593984962406013,0.05639097744360902,0.05639097744360902,0.007518796992481203,0.0,0.018796992481203006,0.007518796992481203,0.007518796992481203,0.04887218045112782,0.05639097744360902,0.007518796992481203,0.05639097744360902,0.011278195488721804,0.0,0.045112781954887216,0.007518796992481203,0.05263157894736842,0.0037593984962406013,0.05639097744360902,0.0,0.007518796992481203
FT9,0.0,0.03254067584480601,0.02753441802252816,0.0,0.030037546933667083,0.017521902377972465,0.007509386733416771,0.007509386733416771,0.0,0.030037546933667083,0.0,0.0,0.02753441802252816,0.030037546933667083,0.030037546933667083,0.0,0.026282853566958697,0.026282853566958697,0.026282853566958697,0.02753441802252816,0.0,0.02753441802252816,0.025031289111389236,0.03254067584480601,0.03254067584480601,0.028785982478097622,0.03254067584480601,0.0,0.0,0.03254067584480601,0.0,0.03254067584480601,0.03254067584480601,0.023779724655819776,0.030037546933667083,0.03254067584480601,0.0050062578222778474,0.0,0.028785982478097622,0.0,0.0,0.03128911138923655,0.0,0.0,0.03128911138923655,0.03254067584480601,0.0,0.0,0.03128911138923655,0.0,0.02753441802252816,0.01376720901126408,0.0,0.026282853566958697,0.0,0.03128911138923655,0.0,0.0,0.03128911138923655
FC5,0.0,0.0288659793814433,0.0288659793814433,0.0,0.0288659793814433,0.024742268041237112,0.010309278350515464,0.010309278350515464,0.0,0.0288659793814433,0.0,0.0,0.0288659793814433,0.0288659793814433,0.0288659793814433,0.0,0.0288659793814433,0.0288659793814433,0.0288659793814433,0.0288659793814433,0.0,0.0288659793814433,0.0288659793814433,0.0288659793814433,0.0288659793814433,0.0288659793814433,0.0288659793814433,0.0,0.0,0.0288659793814433,0.0,0.0288659793814433,0.0288659793814433,0.0288659793814433,0.0288659793814433,0.0288659793814433,0.008247422680412371,0.0,0.0288659793814433,0.0,0.0,0.0288659793814433,0.0,0.0,0.0288659793814433,0.0288659793814433,0.0,0.0,0.0288659793814433,0.0,0.0288659793814433,0.02268041237113402,0.0,0.0288659793814433,0.0,0.0288659793814433,0.0,0.0,0.0288659793814433
FC1,0.0,0.027649769585253458,0.027649769585253458,0.0,0.027649769585253458,0.027649769585253458,0.02304147465437788,0.02304147465437788,0.0,0.027649769585253458,0.0,0.0,0.027649769585253458,0.027649769585253458,0.027649769585253458,0.0,0.027649769585253458,0.027649769585253458,0.027649769585253458,0.027649769585253458,0.0,0.027649769585253458,0.027649769585253458,0.027649769585253458,0.027649769585253458,0.027649769585253458,0.027649769585253458,0.0,0.0,0.027649769585253458,0.0,0.027649769585253458,0.027649769585253458,0.027649769585253458,0.027649769585253458,0.027649769585253458,0.013824884792626729,0.0,0.027649769585253458,0.0,0.0,0.027649769585253458,0.0,0.0,0.027649769585253458,0.027649769585253458,0.0,0.0,0.027649769585253458,0.0,0.027649769585253458,0.027649769585253458,0.0,0.027649769585253458,0.0,0.027649769585253458,0.0,0.0,0.027649769585253458
C3,0.0,0.02867383512544803,0.02867383512544803,0.0035842293906810036,0.02867383512544803,0.025089605734767026,0.021505376344086023,0.025089605734767026,0.0,0.02867383512544803,0.0,0.0,0.025089605734767026,0.02867383512544803,0.02867383512544803,0.0,0.02867383512544803,0.02867383512544803,0.02867383512544803,0.025089605734767026,0.0,0.025089605734767026,0.02867383512544803,0.02867383512544803,0.02867383512544803,0.02867383512544803,0.02867383512544803,0.0,0.0,0.02867383512544803,0.0,0.02867383512544803,0.02867383512544803,0.025089605734767026,0.025089605734767026,0.02867383512544803,0.010752688172043012,0.0,0.025089605734767026,0.0,0.0,0.02867383512544803,0.0,0.0,0.02867383512544803,0.02867383512544803,0.0,0.0,0.02867383512544803,0.0,0.02867383512544803,0.021505376344086023,0.0,0.02867383512544803,0.0,0.025089605734767026,0.0,0.0,0.02867383512544803
T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.03385731559854897,0.026602176541717048,0.0,0.02902055622732769,0.016928657799274487,0.007255139056831923,0.007255139056831923,0.0,0.030229746070133012,0.0,0.0,0.026602176541717048,0.03143893591293833,0.02902055622732769,0.0,0.02539298669891173,0.02539298669891173,0.02539298669891173,0.026602176541717048,0.0,0.026602176541717048,0.02418379685610641,0.03385731559854897,0.03385731559854897,0.02781136638452237,0.03385731559854897,0.0,0.0,0.03385731559854897,0.0,0.03385731559854897,0.03385731559854897,0.022974607013301087,0.02902055622732769,0.03385731559854897,0.0048367593712212815,0.0,0.02781136638452237,0.0,0.0,0.032648125755743655,0.0,0.0,0.032648125755743655,0.03385731559854897,0.0,0.0,0.032648125755743655,0.0,0.026602176541717048,0.013301088270858524,0.0,0.02539298669891173,0.0,0.03143893591293833,0.0,0.0,0.030229746070133012
