,Fp1,F7,FT9,FT10,F4,F8,Fp2,AFz
Fp1,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.32894736842105265,0.25
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.3582089552238806,0.0,0.0,0.0,0.0,0.0,0.3582089552238806,0.2835820895522388
AFz,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
