,F7,FT9,Oz,AF7,F5,P1,F6,AF8
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.24675324675324675,0.19480519480519481,0.2597402597402597,0.0,0.0,0.05194805194805195,0.24675324675324675
Oz,0.0,0.2073170731707317,0.21951219512195122,0.24390243902439024,0.0,0.0,0.08536585365853659,0.24390243902439024
AF7,0.0,0.16535433070866143,0.15748031496062992,0.36220472440944884,0.0,0.0,0.06299212598425197,0.25196850393700787
F5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,0.0,0.16216216216216217,0.21621621621621623,0.21621621621621623,0.0,0.0,0.1891891891891892,0.21621621621621623
AF8,0.0,0.19444444444444445,0.17592592592592593,0.2962962962962963,0.0,0.0,0.06481481481481481,0.26851851851851855
