,caudalanteriorcingulate-lh,frontalpole-lh,frontalpole-rh,insula-lh,insula-rh,paracentral-lh,parahippocampal-lh,parahippocampal-rh
caudalanteriorcingulate-lh,0.1,0.1,0.15,0.15,0.1,0.15,0.1,0.15
frontalpole-lh,0.1,0.1,0.15,0.15,0.1,0.15,0.1,0.15
frontalpole-rh,0.1,0.1,0.15,0.15,0.1,0.15,0.1,0.15
insula-lh,0.1,0.1,0.15,0.15,0.1,0.15,0.1,0.15
insula-rh,0.1,0.1,0.15,0.15,0.1,0.15,0.1,0.15
paracentral-lh,0.1,0.1,0.15,0.15,0.1,0.15,0.1,0.15
parahippocampal-lh,0.1,0.1,0.15,0.15,0.1,0.15,0.1,0.15
parahippocampal-rh,0.1,0.1,0.15,0.15,0.1,0.15,0.1,0.15
