,bankssts-lh,caudalanteriorcingulate-lh,caudalanteriorcingulate-rh,frontalpole-lh,insula-lh,parahippocampal-lh,pericalcarine-rh,temporalpole-lh
bankssts-lh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caudalanteriorcingulate-lh,0.0,0.5555555555555556,0.25925925925925924,0.18518518518518517,0.0,0.0,0.0,0.0
caudalanteriorcingulate-rh,0.0,0.19753086419753085,0.8024691358024691,0.0,0.0,0.0,0.0,0.0
frontalpole-lh,0.0,0.08421052631578947,0.0,0.6526315789473685,0.2631578947368421,0.0,0.0,0.0
insula-lh,0.0,0.0,0.0,0.26136363636363635,0.7386363636363636,0.0,0.0,0.0
parahippocampal-lh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
pericalcarine-rh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
temporalpole-lh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
