,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,superiorfrontal-lh,superiorfrontal-rh,superiortemporal-lh,superiortemporal-rh,supramarginal-rh
inferiorparietal-rh,0.2864583333333333,0.0,0.0,0.0,0.0,0.19270833333333334,0.24479166666666666,0.2760416666666667
parsopercularis-lh,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0
parstriangularis-rh,0.0,0.0,0.9705882352941176,0.0,0.029411764705882353,0.0,0.0,0.0
superiorfrontal-lh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
superiorfrontal-rh,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0
superiortemporal-lh,0.2469879518072289,0.006024096385542169,0.0,0.0,0.0,0.25903614457831325,0.2469879518072289,0.24096385542168675
superiortemporal-rh,0.26737967914438504,0.0,0.0,0.0,0.0,0.20855614973262032,0.2620320855614973,0.2620320855614973
supramarginal-rh,0.28342245989304815,0.0,0.0,0.0,0.0,0.1925133689839572,0.24598930481283424,0.27807486631016043
