,Fp1,Fz,P3,Fp2,AF7,AFz,F6,AF8
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fz,0.0,0.4782608695652174,0.0,0.0,0.0,0.0,0.0,0.5217391304347826
P3,0.0,0.0,0.375,0.0,0.5,0.0,0.125,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.08333333333333333,0.0,0.5,0.0,0.4166666666666667,0.0
AFz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,0.0,0.0,0.06976744186046512,0.0,0.4883720930232558,0.0,0.4418604651162791,0.0
AF8,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.7333333333333333
