,TP10,F4,F8,Fp2,AF7,AFz,AF8,AF4
TP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.0,0.375,0.1875,0.0,0.4375,0.0,0.0,0.0
F8,0.0,0.25,0.3,0.0,0.35,0.0,0.0,0.1
Fp2,0.0,0.0,0.0,0.25,0.0,0.375,0.375,0.0
AF7,0.0,0.23333333333333334,0.2,0.0,0.5,0.0,0.0,0.06666666666666667
AFz,0.0,0.0,0.0,0.10526315789473684,0.0,0.6842105263157895,0.21052631578947367,0.0
AF8,0.0,0.0,0.0,0.18181818181818182,0.0,0.45454545454545453,0.36363636363636365,0.0
AF4,0.0,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666
