,Fp1,CP5,O1,Oz,C5,POz,CPz,AF8
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oz,0.0,0.0,0.0,0.8089887640449438,0.0,0.0,0.19101123595505617,0.0
C5,0.0,0.0,0.0,0.0,0.5688073394495413,0.0,0.43119266055045874,0.0
POz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPz,0.0,0.0,0.0,0.07515657620041753,0.09812108559498957,0.0,0.826722338204593,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
