,Fp1,TP9,FT10,PO3,POz,CPz,TP8,AF8
Fp1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT10,0.0,0.0,0.4488888888888889,0.0,0.0,0.10814814814814815,0.0,0.44296296296296295
PO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPz,0.0,0.0,0.2897959183673469,0.0,0.0,0.40408163265306124,0.0,0.30612244897959184
TP8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.0,0.0,0.38571428571428573,0.0,0.0,0.1,0.0,0.5142857142857142
