,inferiorparietal-rh,parsopercularis-lh,parstriangularis-rh,rostralmiddlefrontal-rh,superiorparietal-lh,superiortemporal-lh,supramarginal-lh,supramarginal-rh
inferiorparietal-rh,0.5428571428571428,0.34285714285714286,0.0,0.0,0.11428571428571428,0.0,0.0,0.0
parsopercularis-lh,0.19718309859154928,0.704225352112676,0.0,0.07042253521126761,0.028169014084507043,0.0,0.0,0.0
parstriangularis-rh,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
rostralmiddlefrontal-rh,0.0,0.075,0.0,0.9,0.0,0.0,0.025,0.0
superiorparietal-lh,0.16,0.08,0.0,0.0,0.76,0.0,0.0,0.0
superiortemporal-lh,0.0,0.0,0.0,0.0,0.0,0.9302325581395349,0.046511627906976744,0.023255813953488372
supramarginal-lh,0.0,0.0,0.0,0.0,0.0,0.15,0.725,0.125
supramarginal-rh,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.4,0.5333333333333333
