,Fp1,F7,FT9,P7,Fp2,P5,AF8,F2
Fp1,0.46808510638297873,0.0,0.0,0.0425531914893617,0.48936170212765956,0.0,0.0,0.0
F7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P7,0.375,0.0,0.0,0.25,0.375,0.0,0.0,0.0
Fp2,0.4230769230769231,0.0,0.0,0.038461538461538464,0.5384615384615384,0.0,0.0,0.0
P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
