,frontalpole-lh,frontalpole-rh,isthmuscingulate-rh,lateraloccipital-rh,lingual-rh,parahippocampal-rh,rostralanteriorcingulate-lh,rostralanteriorcingulate-rh
frontalpole-lh,0.12244897959183673,0.1326530612244898,0.1326530612244898,0.11224489795918367,0.1326530612244898,0.11224489795918367,0.1326530612244898,0.12244897959183673
frontalpole-rh,0.12,0.14,0.14,0.11,0.13,0.11,0.13,0.12
isthmuscingulate-rh,0.12,0.14,0.14,0.11,0.13,0.11,0.13,0.12
lateraloccipital-rh,0.1276595744680851,0.1276595744680851,0.1276595744680851,0.11702127659574468,0.1276595744680851,0.11702127659574468,0.1276595744680851,0.1276595744680851
lingual-rh,0.12,0.14,0.14,0.11,0.13,0.11,0.13,0.12
parahippocampal-rh,0.12048192771084337,0.13253012048192772,0.13253012048192772,0.10843373493975904,0.13253012048192772,0.12048192771084337,0.13253012048192772,0.12048192771084337
rostralanteriorcingulate-lh,0.12,0.14,0.14,0.11,0.13,0.11,0.13,0.12
rostralanteriorcingulate-rh,0.12244897959183673,0.1326530612244898,0.1326530612244898,0.11224489795918367,0.1326530612244898,0.11224489795918367,0.1326530612244898,0.12244897959183673
