,P3,Cz,F5,P5,PO3,POz,F6,AF8
P3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P5,0.0,0.0,0.0,0.53125,0.4375,0.0,0.0,0.03125
PO3,0.0,0.0,0.0,0.5,0.4666666666666667,0.0,0.0,0.03333333333333333
POz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.2
