,P3,P1,P5,PO3,POz,PO4,PO8,AF8
P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P1,0.0,0.34579439252336447,0.35514018691588783,0.29906542056074764,0.0,0.0,0.0,0.0
P5,0.0,0.3135593220338983,0.4152542372881356,0.2711864406779661,0.0,0.0,0.0,0.0
PO3,0.0,0.336734693877551,0.336734693877551,0.32653061224489793,0.0,0.0,0.0,0.0
POz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
