,entorhinal-rh,insula-rh,isthmuscingulate-lh,isthmuscingulate-rh,parahippocampal-rh,pericalcarine-rh,posteriorcingulate-lh,temporalpole-rh
entorhinal-rh,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insula-rh,0.0,0.43333333333333335,0.0,0.36666666666666664,0.2,0.0,0.0,0.0
isthmuscingulate-lh,0.0,0.0,0.47058823529411764,0.14705882352941177,0.0,0.0,0.38235294117647056,0.0
isthmuscingulate-rh,0.0,0.3,0.075,0.35,0.15,0.0,0.125,0.0
parahippocampal-rh,0.0,0.2,0.0,0.2,0.6,0.0,0.0,0.0
pericalcarine-rh,0.0,0.0,0.13333333333333333,0.0,0.0,0.8666666666666667,0.0,0.0
posteriorcingulate-lh,0.0,0.0,0.3,0.16666666666666666,0.0,0.0,0.5333333333333333,0.0
temporalpole-rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
